date,symbol,open,high,low,close,macd,macd_signal_line,macd_hist,atr,bolling_middle_band,bolling_upper_band,bolling_lower_band,bolling_upper_diff,bolling_lower_diff,lrs,highest_high,lowest_low,pcn_highest_high,pcn_lowest_low,rmi,rsi,smi
1981-04-02,AAPL,0.092038370668888,0.0924745389633486,0.092038370668888,0.092038370668888,-0.0006,-0.0012,0.0006,0.0028,0.0859,0.0965,0.0753,-0.0044889020894777615,0.016765643427253743,0.0001,,,0.0899,0.0846,47.6948,52.0,-35.0643
1981-04-03,AAPL,0.0924745500087738,0.0929107241792182,0.0924745500087738,0.0924745500087738,-0.0002,-0.001,0.0008,0.0026,0.086,0.0969,0.0751,-0.004435396398599439,0.01738449641614706,0.0,,,0.0925,0.0846,54.373,52.1739,11.9508
1981-04-06,AAPL,0.0911652858978271,0.0911652858978271,0.0907291173934936,0.0907291173934936,0.0,-0.0008,0.0008,0.0026,0.0865,0.0975,0.0755,-0.006732063678913422,0.015190298465900628,-0.0001,,,0.0929,0.0846,59.4446,50.0,32.0508
1981-04-07,AAPL,0.0902929496013707,0.0902929496013707,0.089856781065464,0.089856781065464,0.0001,-0.0006,0.0007,0.0025,0.087,0.0974,0.0766,-0.007562927409730247,0.01327648954065827,-0.0001,,,0.0929,0.0846,64.0159,47.619,35.1011
1981-04-08,AAPL,0.094219259917736,0.0950916026650466,0.094219259917736,0.094219259917736,0.0004,-0.0004,0.0008,0.0027,0.088,0.0974,0.0786,-0.0031982411511881637,0.01563676098666017,0.0,,,0.0929,0.0846,65.8489,54.5455,41.5926
1981-04-09,AAPL,0.0959639400243759,0.0964001142854859,0.0959639400243759,0.0959639400243759,0.0009,-0.0002,0.0011,0.0026,0.0888,0.0978,0.0798,-0.0018149853786302989,0.016142865427382094,0.0002,,,0.0951,0.0899,68.759,57.1429,54.066
1981-04-10,AAPL,0.0972724184393882,0.0977085867037776,0.0972724184393882,0.0972724184393882,0.0014,0.0002,0.0012,0.0026,0.0898,0.0979,0.0817,-0.0006503019097307827,0.015595138788507185,0.0005,,,0.0964,0.0899,73.583,60.0,66.914
1981-04-13,AAPL,0.0972724184393882,0.0977085867037776,0.0972724184393882,0.0972724184393882,0.0017,0.0005,0.0012,0.0024,0.0906,0.0982,0.083,-0.0009260901526386978,0.01427092703141511,0.0008,,,0.0977,0.0899,77.9859,61.1111,75.8593
1981-04-14,AAPL,0.0972724184393882,0.0977085867037776,0.0972724184393882,0.0972724184393882,0.0019,0.0007,0.0012,0.0023,0.0913,0.0989,0.0837,-0.001622473498099783,0.013567310376876182,0.001,,,0.0977,0.0899,79.5868,62.5,78.2113
1981-04-15,AAPL,0.0929107241792182,0.0929107241792182,0.0924745500087738,0.0924745500087738,0.0017,0.0009,0.0008,0.0024,0.0914,0.099,0.0838,-0.006508307459705598,0.008657407477253215,0.0009,,,0.0977,0.0942,72.6831,50.0,39.3751
1981-04-16,AAPL,0.0876759107644664,0.0876759107644664,0.0872397422790527,0.0872397422790527,0.0011,0.001,0.0001,0.0026,0.0913,0.099,0.0836,-0.01179121402757903,0.0036706985856844315,0.0006,,,0.0977,0.0925,56.5612,40.0,-22.4449
1981-04-20,AAPL,0.089856781065464,0.0902929496013707,0.089856781065464,0.089856781065464,0.0008,0.0009,-0.0001,0.0027,0.0913,0.099,0.0836,-0.009174175241167731,0.006287737372095731,0.0004,,,0.0977,0.0872,47.6355,45.0,-42.7161
1981-04-21,AAPL,0.0959639400243759,0.0964001142854859,0.0959639400243759,0.0959639400243759,0.0011,0.001,0.0001,0.003,0.0914,0.0993,0.0835,-0.00338543395980051,0.012513314008552323,0.0003,,,0.0977,0.0872,46.1664,56.5217,-14.6145
